Date,Index
2014-08-13,845.0
2014-08-12,829.0
2014-08-11,819.0
2014-08-08,804.0
2014-08-07,785.0
2014-08-06,767.0
2014-08-05,753.0
2014-08-04,740.0
2014-08-01,728.0
2014-07-31,716.0
2014-07-30,704.0
2014-07-29,688.0
2014-07-28,684.0
2014-07-25,679.0
2014-07-24,666.0
2014-07-23,661.0
2014-07-22,661.0
2014-07-21,659.0
2014-07-18,659.0
2014-07-17,660.0
2014-07-16,666.0
2014-07-15,671.0
2014-07-14,675.0
2014-07-11,679.0
2014-07-10,681.0
2014-07-09,684.0
2014-07-08,687.0
2014-07-07,686.0
2014-07-04,682.0
2014-07-03,680.0
2014-07-02,677.0
2014-07-01,676.0
2014-06-30,675.0
2014-06-27,678.0
2014-06-26,679.0
2014-06-25,687.0
2014-06-24,694.0
2014-06-23,701.0
2014-06-20,704.0
2014-06-19,708.0
2014-06-18,715.0
2014-06-17,724.0
2014-06-16,740.0
2014-06-13,748.0
2014-06-12,760.0
2014-06-11,774.0
2014-06-10,787.0
2014-06-09,797.0
2014-06-06,802.0
2014-06-05,811.0
2014-06-04,821.0
2014-06-03,829.0
2014-06-02,829.0
2014-05-30,830.0
2014-05-29,839.0
2014-05-28,846.0
2014-05-27,855.0
2014-05-23,866.0
2014-05-22,872.0
2014-05-21,884.0
2014-05-20,891.0
2014-05-19,896.0
2014-05-16,899.0
2014-05-15,901.0
2014-05-14,904.0
2014-05-13,904.0
2014-05-12,905.0
2014-05-09,909.0
2014-05-08,918.0
2014-05-07,920.0
2014-05-06,917.0
2014-05-02,915.0
2014-05-01,915.0
2014-04-30,919.0
2014-04-29,922.0
2014-04-28,916.0
2014-04-25,912.0
2014-04-24,909.0
2014-04-22,909.0
2014-04-17,908.0
2014-04-16,909.0
2014-04-15,916.0
2014-04-14,921.0
2014-04-11,927.0
2014-04-10,936.0
2014-04-09,949.0
2014-04-08,965.0
2014-04-07,982.0
2014-04-04,1003.0
2014-04-03,1025.0
2014-04-02,1047.0
2014-04-01,1068.0
2014-03-31,1090.0
2014-03-28,1115.0
2014-03-27,1139.0
2014-03-26,1180.0
2014-03-24,1207.0
2014-03-21,1209.0
2014-03-20,1205.0
2014-03-19,1200.0
2014-03-18,1198.0
2014-03-17,1191.0
2014-03-14,1183.0
2014-03-13,1173.0
2014-03-12,1159.0
2014-03-11,1149.0
2014-03-10,1137.0
2014-03-07,1131.0
2014-03-06,1122.0
2014-03-05,1116.0
2014-03-04,1115.0
2014-02-28,1103.0
2014-02-27,1100.0
2014-02-26,1097.0
2014-02-25,1096.0
2014-02-24,1096.0
2014-02-21,1098.0
2014-02-20,1087.0
2014-02-19,1068.0
2014-02-18,1049.0
2014-02-17,1026.0
2014-02-14,998.0
2014-02-13,965.0
2014-02-12,938.0
2014-02-11,928.0
2014-02-10,929.0
2014-02-07,929.0
2014-02-06,937.0
2014-02-05,948.0
2014-02-04,961.0
2014-02-03,975.0
2014-01-31,996.0
2014-01-30,1018.0
2014-01-28,1079.0
2014-01-27,1098.0
2014-01-24,1112.0
2014-01-23,1121.0
2014-01-22,1130.0
2014-01-21,1141.0
2014-01-20,1154.0
2014-01-17,1165.0
2014-01-16,1175.0
2014-01-15,1182.0
2014-01-14,1189.0
2014-01-13,1191.0
2014-01-10,1190.0
2014-01-09,1188.0
2014-01-08,1191.0
2014-01-07,1204.0
2014-01-03,1276.0
2014-01-02,1330.0
2013-12-24,1453.0
2013-12-23,1468.0
2013-12-20,1482.0
2013-12-19,1499.0
2013-12-18,1517.0
2013-12-17,1541.0
2013-12-16,1546.0
2013-12-13,1553.0
2013-12-12,1562.0
2013-12-11,1560.0
2013-12-10,1554.0
2013-12-09,1557.0
2013-12-06,1552.0
2013-12-05,1531.0
2013-12-04,1522.0
2013-12-03,1507.0
2013-12-02,1488.0
2013-11-30,1475.0
2013-11-28,1458.0
2013-11-27,1441.0
2013-11-26,1418.0
2013-11-25,1404.0
2013-11-22,1393.0
2013-11-21,1378.0
2013-11-20,1371.0
2013-11-19,1363.0
2013-11-18,1360.0
2013-11-15,1354.0
2013-11-14,1339.0
2013-11-13,1325.0
2013-11-12,1321.0
2013-11-11,1320.0
2013-11-08,1315.0
2013-11-07,1305.0
2013-11-06,1291.0
2013-11-05,1285.0
2013-11-04,1280.0
2013-11-01,1273.0
2013-10-31,1269.0
2013-10-30,1268.0
2013-10-29,1266.0
2013-10-25,1258.0
2013-10-24,1252.0
2013-10-23,1243.0
2013-10-22,1228.0
2013-10-21,1221.0
2013-10-18,1213.0
2013-10-17,1206.0
2013-10-16,1199.0
2013-10-15,1186.0
2013-10-14,1185.0
2013-10-11,1182.0
2013-10-10,1175.0
2013-10-09,1162.0
2013-10-08,1145.0
2013-10-07,1127.0
2013-10-04,1113.0
2013-10-03,1101.0
2013-10-02,1093.0
2013-10-01,1087.0
2013-09-30,1079.0
2013-09-27,1069.0
2013-09-26,1046.0
2013-09-25,1012.0
2013-09-24,986.0
2013-09-23,971.0
2013-09-20,964.0
2013-09-19,951.0
2013-09-18,942.0
2013-09-17,934.0
2013-09-16,936.0
2013-09-13,940.0
2013-09-12,946.0
2013-09-11,954.0
2013-09-10,958.0
2013-09-09,965.0
2013-09-06,959.0
2013-09-05,952.0
2013-09-04,943.0
2013-09-03,939.0
2013-09-02,939.0
2013-08-30,939.0
2013-08-29,937.0
2013-08-28,934.0
2013-08-27,929.0
2013-08-22,925.0
2013-08-21,920.0
2013-08-20,919.0
2013-08-19,917.0
2013-08-16,916.0
2013-08-14,910.0
2013-08-13,909.0
2013-08-12,910.0
2013-08-09,911.0
2013-08-08,913.0
2013-08-07,911.0
2013-08-06,907.0
2013-08-05,908.0
2013-08-02,927.0
2013-08-01,909.0
2013-07-31,912.0
2013-07-30,916.0
2013-07-29,919.0
2013-07-26,917.0
2013-07-25,917.0
2013-07-24,914.0
2013-07-23,907.0
2013-07-22,902.0
2013-07-19,898.0
2013-07-18,897.0
2013-07-17,894.0
2013-07-16,895.0
2013-07-15,894.0
2013-07-12,897.0
2013-07-11,901.0
2013-07-10,904.0
2013-07-09,911.0
2013-07-08,920.0
2013-07-05,924.0
2013-07-04,932.0
2013-07-03,943.0
2013-07-02,952.0
2013-07-01,954.0
2013-06-28,954.0
2013-06-27,950.0
2013-06-26,944.0
2013-06-25,937.0
2013-06-21,923.0
2013-06-20,916.0
2013-06-19,909.0
2013-06-18,903.0
2013-06-17,900.0
2013-06-14,900.0
2013-06-13,895.0
2013-06-12,895.0
2013-06-11,892.0
2013-06-10,890.0
2013-06-07,889.0
2013-06-06,885.0
2013-06-05,880.0
2013-06-04,877.0
2013-06-03,873.0
2013-05-31,871.0
2013-05-30,865.0
2013-05-29,859.0
2013-05-28,858.0
2013-05-24,857.0
2013-05-23,855.0
2013-05-22,853.0
2013-05-21,851.0
2013-05-20,852.0
2013-05-17,851.0
